,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,team,frameId,gameId,playId,playDirection,season,week,gameDate,gameTimeEastern,homeTeamAbbr,visitorTeamAbbr,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,returnerId,kickBlockerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,passResult,kickLength,kickReturnYardage,playResult,absoluteYardlineNumber
1218885,2020-12-27T18:30:38.600,67.89,22.07,0.0,0.0,0.0,262.93,118.98,None,37211.0,Anthony Sherman,42.0,RB,home,1,2020122708,813,left,2020,16,12/27/2020,13:00:00,KC,ATL,"(:23) T.Townsend punts 52 yards to ATL 4, Center-J.Winchester, downed by KC-A.Hamilton.",1,4,7,KC,Punt,Downed,52791.0,,,KC,44,00:23:00,,,,0,0,,52.0,,52,66
1218886,2020-12-27T18:30:38.700,67.89,22.07,0.0,0.0,0.0,262.93,118.99,None,37211.0,Anthony Sherman,42.0,RB,home,2,2020122708,813,left,2020,16,12/27/2020,13:00:00,KC,ATL,"(:23) T.Townsend punts 52 yards to ATL 4, Center-J.Winchester, downed by KC-A.Hamilton.",1,4,7,KC,Punt,Downed,52791.0,,,KC,44,00:23:00,,,,0,0,,52.0,,52,66
1218887,2020-12-27T18:30:38.800,67.89,22.07,0.0,0.0,0.0,262.93,117.96,None,37211.0,Anthony Sherman,42.0,RB,home,3,2020122708,813,left,2020,16,12/27/2020,13:00:00,KC,ATL,"(:23) T.Townsend punts 52 yards to ATL 4, Center-J.Winchester, downed by KC-A.Hamilton.",1,4,7,KC,Punt,Downed,52791.0,,,KC,44,00:23:00,,,,0,0,,52.0,,52,66
1218888,2020-12-27T18:30:38.900,67.89,22.07,0.0,0.0,0.0,262.93,119.74,None,37211.0,Anthony Sherman,42.0,RB,home,4,2020122708,813,left,2020,16,12/27/2020,13:00:00,KC,ATL,"(:23) T.Townsend punts 52 yards to ATL 4, Center-J.Winchester, downed by KC-A.Hamilton.",1,4,7,KC,Punt,Downed,52791.0,,,KC,44,00:23:00,,,,0,0,,52.0,,52,66
1218889,2020-12-27T18:30:39.000,67.89,22.07,0.0,0.0,0.0,262.93,120.29,None,37211.0,Anthony Sherman,42.0,RB,home,5,2020122708,813,left,2020,16,12/27/2020,13:00:00,KC,ATL,"(:23) T.Townsend punts 52 yards to ATL 4, Center-J.Winchester, downed by KC-A.Hamilton.",1,4,7,KC,Punt,Downed,52791.0,,,KC,44,00:23:00,,,,0,0,,52.0,,52,66
1218890,2020-12-27T18:30:39.100,67.89,22.07,0.0,0.0,0.0,262.93,118.95,None,37211.0,Anthony Sherman,42.0,RB,home,6,2020122708,813,left,2020,16,12/27/2020,13:00:00,KC,ATL,"(:23) T.Townsend punts 52 yards to ATL 4, Center-J.Winchester, downed by KC-A.Hamilton.",1,4,7,KC,Punt,Downed,52791.0,,,KC,44,00:23:00,,,,0,0,,52.0,,52,66
1218891,2020-12-27T18:30:39.200,67.9,22.07,0.0,0.0,0.0,262.93,118.2,None,37211.0,Anthony Sherman,42.0,RB,home,7,2020122708,813,left,2020,16,12/27/2020,13:00:00,KC,ATL,"(:23) T.Townsend punts 52 yards to ATL 4, Center-J.Winchester, downed by KC-A.Hamilton.",1,4,7,KC,Punt,Downed,52791.0,,,KC,44,00:23:00,,,,0,0,,52.0,,52,66
1218892,2020-12-27T18:30:39.300,67.9,22.07,0.0,0.0,0.0,262.93,117.5,None,37211.0,Anthony Sherman,42.0,RB,home,8,2020122708,813,left,2020,16,12/27/2020,13:00:00,KC,ATL,"(:23) T.Townsend punts 52 yards to ATL 4, Center-J.Winchester, downed by KC-A.Hamilton.",1,4,7,KC,Punt,Downed,52791.0,,,KC,44,00:23:00,,,,0,0,,52.0,,52,66
1218893,2020-12-27T18:30:39.400,67.9,22.07,0.0,0.0,0.0,262.93,114.22,None,37211.0,Anthony Sherman,42.0,RB,home,9,2020122708,813,left,2020,16,12/27/2020,13:00:00,KC,ATL,"(:23) T.Townsend punts 52 yards to ATL 4, Center-J.Winchester, downed by KC-A.Hamilton.",1,4,7,KC,Punt,Downed,52791.0,,,KC,44,00:23:00,,,,0,0,,52.0,,52,66
1218894,2020-12-27T18:30:39.500,67.9,22.07,0.0,0.0,0.0,262.93,111.69,None,37211.0,Anthony Sherman,42.0,RB,home,10,2020122708,813,left,2020,16,12/27/2020,13:00:00,KC,ATL,"(:23) T.Townsend punts 52 yards to ATL 4, Center-J.Winchester, downed by KC-A.Hamilton.",1,4,7,KC,Punt,Downed,52791.0,,,KC,44,00:23:00,,,,0,0,,52.0,,52,66
1218895,2020-12-27T18:30:39.600,67.91,22.08,0.0,0.0,0.0,263.58,106.39,ball_snap,37211.0,Anthony Sherman,42.0,RB,home,11,2020122708,813,left,2020,16,12/27/2020,13:00:00,KC,ATL,"(:23) T.Townsend punts 52 yards to ATL 4, Center-J.Winchester, downed by KC-A.Hamilton.",1,4,7,KC,Punt,Downed,52791.0,,,KC,44,00:23:00,,,,0,0,,52.0,,52,66
